Nom de l'entreprise;SIREN;Chiffre d'affaires;Marge nette
EES-CLEVIA MEDITER EIFFAGE ENERGIE SYSTEMES - CLEVIA MEDITERRANEE;518137724;16912386;5
GEODIS D&E BOUCHES DU RHONE;072803471;18339021;9
AKRAPLAST FRANCE;390535904;16995419;2
SAS LOGTRANS;749945242;17790377;9
SPENGLER SAS;418686739;15930644;-1
SUD PREVENTION SECURITE;390589133;19092338;0
OREO;499792067;15661788;3
MER MEC FRANCE;494330764;15640509;10
SAPS SERVICE ACCUEIL PREVENTION SECURITE PRIVEE;420165268;18062982;1
SIMPLICITI;499446557;19882032;3
LAA LES AUTOMATISMES APPLIQUES;323180661;17434373;9
REACTIS;438101750;18618578;1
ENERGY MECHANICAL BUILDING;332276245;17653804;6
SNRM SOFTWAY MEDICAL INFRASTRUCTURE;422021238;19227071;20
SBE GRAND SUD SPIE BATIGNOLLES ENERGIE GRAND SUD;073801631;18066232;-20
MIOS SNEF TECHNOLOGIES;340620368;16835278;-12
HOPPS GROUP;319428967;17592605;425
STUDIA;518048152;17944553;-27
SLTH TRANSPORTS;838616571;15053189;1
SERPAT TRAVAUX;330980723;18688017;5
M.F. TEL;483832283;15836590;20
SNI SOCIETE DE NEGOCE INTERNATIONAL;329071252;16203746;2
SOCOMAN SOC COMMERCIALE DE MANUTENTION;388743049;18953774;2
OFFICE MERIDIONAL D'ENTRETIEN SARL;453664393;15407564;2
CEGELEC INFRAS SUD-EST;537915738;16456361;4
FROJO;057817264;17944493;6
PRADO SERVICES AUTOMOBILES;488358763;15548716;-2
BALOO;797566833;18781525;5
AVT ACCES VITAL TECHNOLOGY;424489219;15438509;7
MATTOUT ENTREPRISE;451298574;17919437;4
JAPASUD;447910084;17421646;1
GENERAL INDUSTRIES;451460836;19469977;-3
PARLYM PROJECT MANAGEMENT;508196839;17779635;6
LES ROCHES BLANCHES DE CASSIS;060801487;16210624;8
DIP;069802296;18460387;4
PRO DIRECT SERVICES;412188385;17504127;1
GAS BIJOUX;440266765;16811393;6
CHAMBY;393393749;16305915;1
SOCIETE DES ETABLISSEMENTS NOEL SERIES;304764731;19961433;2
SEA BER TRANSIT;824387310;19757956;4
SOC LOQUESIENNE DE CHARCUTERIE;071806038;16753269;3
SERES TECHNOLOGIES;508458494;18255994;7
MAITRE PIERRE;332335165;15347898;-5
NUANCES COMPTOIR AIXOIS;400537759;15309489;3
PLCB PARLYM CONSULTING;514789353;17786677;2
ETABLISSEMENTS ROGER TONETTI;060801099;15322384;0
LASHILE BEAUTY FULL STORE UNLIMITED;833464167;15981279;-16
MILLENNIUM;424299741;16013836;3
BATIMEX BAETEMAN IMPORT EXPORT;451950943;16805209;7
CLINIQUE MONTICELLI-VELODROME;397513219;18551571;7
NET REVIEWS;750882375;15334034;4
ACD AIX;381924802;17662867;22
POSITIF;383625696;19005086;-11
MEDIANE;387689318;17844124;-36
POLYEXPERT MEDITERRANEE;066804824;15780028;10
DELTA ASSURANCES;057808172;19342299;17
SPT MARITIME ET INDUSTRIEL;392979126;20537075;14
4 D;752933796;24216757;2
PRESCO SOCIETE PRESTATIONS COMMERCIALES;314636564;24884170;5
VIRTUALEXPO;432439701;22342121;15
HELISIM;421646365;23084339;31
LULLI SUR LA TOILE;519233282;21567929;-3
PRESTO ENGINEERING FRANCE;811737113;22313958;4
CLEARSY;433901402;22441854;15
SABENA TECHNICS ATP;519384671;21885466;10
MARSEILLE PROVENCE RESTAURANTS;508970506;21458418;2
FOSELEV FOS SERVICE LEVAGE;637070632;22185572;48
HOTEL CO 51 FRANCE SAS;884349531;22995461;-7
ICTS MARSEILLE PROVENCE;537783292;21006436;-2
EJL MEDITERRANEE ENTREPRISE JEAN LEFEBVRE MEDITERRANEE;325435121;24181632;9
KRUZ SEAFOOD;395153653;22110177;8
CEPASCO CENTRALE EPICES ASSAISONNEMENT CONDIMENT;062805585;20710225;4
TECH'FIRM CONSULTING;883961534;22335137;4
GCA TRUCKS MARSEILLE;377545066;22475789;-5
ENSO;852670892;20214163;3
LEASE PROTECT FRANCE;514801455;20716325;1
PRO DIRECT MARKETING;399600964;21555306;7
KB 8 IMPORT-EXPORT INTERNATIONAL;781622220;23615880;1
ACOBAT CONSTRUCTIONS;881514707;20568725;2
VIVIAN ET CIE;063802276;23881566;3
MAGHREB SOLUTIONS;452174345;21609408;1
HYLTON;325192078;22416269;2
SUD EST ETANCHEITE SARL;333771236;21217381;5
SOUFFLE DU MONDE;509947883;20050817;10
CHAUX DE PROVENCE - SACAM;721621357;21324467;-2
SITINDUSTRIE MARINE;451301261;20596933;6
HSP ETABLISSEMENTS H. SAINT-PAUL;061802070;20249363;4
CALADE TECHNOLOGIES;478715766;22757736;-2
SOCIETE DES CALCAIRES REGIONAUX;581620788;22360700;0
ONET PARCS DE LOISIRS;812746527;21717993;0
SIP SOC ISOLATION ET DE PEINTURE;329934889;29634572;2
LABORATOIRES PYC;317220630;29242846;2
SABARDU TOURISME;339484776;28417544;2
JACQUES FERRY ET CIE SA;055805865;26962273;1
GCA POMPAGE;347080103;26616472;-3
VERACYTE;805269271;29373541;-67
FEEDER;328658141;25031778;-0
SOLUSCOPE;490918075;28114708;12
D'HUART INDUSTRIE;382883320;28627246;6
STID SYSTEMES ET TECHNOLOGIES IDENTIFICATION;408472751;27183353;-4
CCIS FRANCE CMA CGM INLAND SERVICES FRANCE;319014619;29933061;5
BABY DELICE;351015342;29650376;2
NAUTECH(NAUTICAL TECHNOLOGIES);408786846;27030413;6
HIRSCH SECURE SAS;343433728;26186230;17
S.T.M -SOCIETE DE TRANSPORTS MARSEILLAIS;833959406;28432498;0
ROAD 66;534136908;25831677;0
HOPITAL PRIVE MARSEILLE - VERT COTEAU BEAUREGARD;408172054;26088994;-13
LAURENT LAUGIER SAS;313389249;26004748;6
EUROFINS LABAZUR PROVENCE;391781309;25522970;-27
SATR SOCIETE AIXOISE TRAVAUX RESEAUX;381947092;29126828;6
CARAGUM INTERNATIONAL;433708989;27293154;7
STEF TRANSPORT MARSEILLE;449002625;27266194;2
FLAVINE PHARMA FRANCE;538503756;27298474;-0
JALIS;440941888;25957193;18
KISSAO;799651104;28507196;1
ETS ETUDES TRAVAUX SPECIAUX;384322020;25381064;3
COFICIEL SOLUTIONS MODULAIRES;403932296;25663612;7
CEGE;330022641;26554667;1
CLINIQUE JUGE;055807838;25463102;12
SOFTWAY MEDICAL;315985135;29621984;-22
S.E.P.B.;480844265;25542140;3
DEDEVIANDES;432247534;25239946;1
CAPTAIN TORTUE FRANCE;501620819;27736952;1
MARSEILLE MANUTENTION;389384165;26575080;7
TRACTION LEVAGE;301331922;29059135;8
TEA MARSEILLE;488119058;29693243;11
GM CONSULTANT CONSEIL;478390149;29649325;9
LULLI CENTRALE;828408641;26650535;3
RGB FRANCE BTP;803488485;25414501;1
ACCEO;500286638;25958173;11
MVA TOURING MARIGNANE;324116417;28760179;-1
SPI PHARMA;417890910;26182820;-9
NEOTYS;480255900;26190722;23
DOMASUD;389632969;29640318;2
CONSTRUCTIONS BABCOCK SERVICES;912637196;27565627;4
GYMNOVA;395080138;28600698;14
PHARMABEST;818761546;28551871;2
CIS CATERING INTERNATIONAL & SERVICES;384621215;26192400;13
COMPAGNIE MERIDIONALE D'APPLICATIONS THERMIQUES CMT;385221536;29663062;2
POUJAUD;410379119;27154457;14
VCF PROVENCE;054803648;25067694;-12
ENTREPRISE BRONZO;071800205;30159004;-14
IPONE;342438702;34348444;15
DFD DESAMIANTAGE FRANCE DEMOLITION;788733384;30315272;6
MAXICOFFEE SUPPORTS;532376845;30546876;-1
SELAS PHARMACIE PRADO MERMOZ;490828464;33976808;6
ADF INDUSTRIAL SOLUTIONS;342667466;32165553;-45
NOATUM MARITIME FRANCE;422722462;32309719;2
PAS PACA ASCENSEURS SERVICES;402023360;30800876;0
SOMEI MED ETU INFORMATIQUE;305036550;30220648;7
ARLIA;342504677;34601193;5
CAP MILANESIO;751041856;34952377;1
SOCIETE DE LA ROCADE L2 DE MARSEILLE;794044370;34649303;10
ESSE BAGNO;479785073;31571048;3
S G C;750674541;32234957;9
ACCELLERON FRANCE SAS;908000359;31441489;5
SA ESTEVAIR;327136198;30427213;3
PARASCANDOLA;343275574;33640668;1
COMPAGNIE DES PATISSIERS;401193701;33710314;-3
PROFER PROVENCALE DES FERRAILLES;331365338;32854116;-2
ETABLISSEMENTS MANZON;389829086;31143524;8
SMRS SOCIETE MARSEILLAISE DE RESTAURATION ET SERVICES;392343083;32907476;-3
AUDLINE;420144925;31438020;3
CDB;500856075;33616548;11
COMECAP FITT FRANCE;317220770;30172881;8
KRUGER FRANCE;414116863;32206800;5
CAP MILANESIO 2;823796818;31143279;1
MAT'ILD;789909389;34494557;-0
LAPHAL INDUSTRIES;057819799;33554119;-3
PRODIM;333747988;31994760;3
BLAMPIN;384584132;31202279;26
STEVI IVECO L. V. I.;339315608;32008750;-4
SOGEA PROVENCE;325059491;30704897;-3
Résultats Trouvés;115113420;Non disponible;Non disponible
VACANCES BLEUES HOTELS;391127875;36872518;3
EUREKA;424630986;36004113;0
AGRO SOURCING;454072521;42329577;5
ETABLISSEMENTS FARSY;065804569;40773930;4
ALLIED INTERNATIONAL FRANCE;453434714;42450380;15
CLINIQUE BOUCHARD;057818460;40907279;-6
ALTAI FRANCE;388318313;42598744;-16
SOCIETE DE MANAGEMENT PROPRETE ET SERVICES;451327639;41573719;-0
AGL SERVICES OLINN SERVICES;326991528;44097232;-9
TECHNICO FLOR;324073972;41992540;5
TOURING MARSEILLE;314572629;40916781;-0
HEM;448174995;40033460;2
SKEEPERS;879038990;42469419;-45
CEGELEC INDUSTRIE SUD EST;537915845;41924669;5
MA BOUTIQUE O NATUREL;530267343;42088549;4
INABENSA FRANCE SAS;442401758;40539734;7
BELVIDIS;524176229;43079814;4
GARIG;492192638;44553172;1
B+EQUIPMENT;429253438;43379106;15
SILIM ENVIRONNEMENT SOCIETE INDUSTRIELLE DU LITTORAL MEDITERRANEEN POUR L ENVIRONNEMENT;072800691;43649765;-12
CVE SOLAR;534737291;42650243;13
CMR GROUP;490366341;41855727;38
AUTOSUD;338738511;44636739;0
CODIP COMPTOIR DE DISTRIBUTION PROFESSIONNELLE;390252203;40033094;4
ARPEGE;377872064;43006621;9
KEOS VITROLLES BY AUTOSPHERE;314954223;43794548;-1
SOMEFOR SOCIETE MERIDIONALE FORMULATION;379737869;41083915;3
ASSISTANCE SERVICES;311110415;41334913;-0
LA PROVENCE;056806813;42836856;-69
PRO-CASH FOOD;808514889;40039684;4
Résultats Trouvés;113724000;Non disponible;Non disponible
ODALYS CITY;491118378;48824509;0
SOCIETE LA FERMIERE;055811996;48264621;-4
OM DEVELOPPEMENT;851818484;47353470;9
CAPSUM;508806080;46780517;10
FAMILLE ET PROVENCE;782678882;48587196;-3
TPF.I TPF INGENIERIE;420606188;48201454;7
CMA CGM AGENCES FRANCE;441213261;49522408;5
INTERNATIONAL METAL SUPPLY;413582743;49040747;2
EMIS ENTRETIEN MAINTENANCE INDUSTRIELLE ET SERVICE;340959600;47782342;4
DELTA ROUTE;641620505;49842358;3
AVANTIX;315067942;46943681;-9
YOCAM;380271213;46713907;2
GROUPE SNEF;892165994;48228000;236
SDA ODICEE M.;303657662;46838421;1
INDIGO GALLERY;501505002;47877925;-9
TRANSDEV ALPILLES BERRE MEDITERRANEE;892125527;48931588;-1
AFFHA AUTOGRILL FFH AUTOROUTES;514271782;47530986;1
INTRAMAR SA;055809404;46120250;-3
AVICARS;508024486;47294679;-0
PROX-HYDRO;058812397;46746212;22
Résultats Trouvés;102000000;Non disponible;Non disponible
ARAMINE;508058377;46002671;13
ONET;059801324;48492602;132
RS RESERVOIR SUN;843245283;49224423;-12
MEDITERRANEENNE DE TOURISME;391856762;50432394;7
MAISON J. QUILLE ET FILS;057815185;51714258;-8
COM NETWORK;480937366;51658292;4
ORTEC SERVICES INDUSTRIE;620801662;53634547;52
OVATIS;788417236;51388947;2
SYNLAB PROVENCE;394473227;53634178;-7
COLOR;407704600;50434500;3
TENERGIE DEVELOPPEMENT;509137493;53459317;-10
GRANIOU AZUR;421209354;52254535;7
PHB DISTRIBUTION;539105627;54492966;2
MAS KEOS MARIGNANE BY AUTOSPHERE;776223406;52569642;-1
SYSTELCOM;334365053;51209007;4
MARSEILLE HABITAT;061800140;54584596;-14
SHARK;312311228;51475528;18
G.T.R.A. GENERALE DE TRANSPORT RAPIDE AUTOMOTIVE;508001021;51391729;1
VECTORYS FRANCE;408079036;54926343;-2
INTERNATIONAL EXPRESS SERVICE;391647971;50567884;3
BIMBO QSR AIX;509277828;50223327;7
JOTT OPERATIONS;320663222;54764447;-55
GREENMODAL TRANSPORT;439995390;51859374;6
BIOGROUP PROVENCE;378711972;56162250;6
FLOMAR;509987301;56639799;3
HIGH CO DATA;403096670;55609942;9
ARDAGH METAL PACKAGING FRANCE;820885531;59776815;-4
INTERWAY;389671165;55580514;4
VACANCES BLEUES RESIDENCES;424860435;56567558;2
COMPAGNIE FRUITIERE IMPORT;057818759;59126773;4
FLS;421544156;55942579;1
GRAND SUD AUTO;399174770;58633839;1
SECTP;444518567;59573196;9
HOPITAL PRIVE LA CASAMANCE;056803117;59715412;-3
DOGG LABEL;413108127;57060979;14
ICARE LEAN;513254227;58275742;-5
BEC CONSTRUCTION PROVENCE;441707387;57140669;7
MGI MG INTERNATIONAL;441743002;59629097;2
PARLYM INTERNATIONAL;348497769;59481592;7
GREENCHEM FRANCE;488500125;59264826;3
SILAE;518892211;56508017;79
ASSYSTEM PROJECT MANAGEMENT;347621831;58335199;5
PISANI(FRANCE) SAS;302667076;59429805;-1
HBI FRANCE;342291226;59624717;0
STATION 7;505383638;56951004;-2
PARLYM ENGINEERING;071803795;61285622;10
S.E.M. SOCIETE DES EAUX DE MARSEILLE;057806150;62413241;25
SONERGIA;518685516;64625860;-6
BARTHELEMY MANUTENTION;310026489;62986533;3
PRIXTEL;451799845;63494373;28
SEABLUE;432083558;64976693;4
SA R E S O;072800600;61439810;7
VACANCES HELIADES;317643963;60144746;1
VALSUD;410299721;64011376;-1
MODALIS;442228789;62967487;30
TERRAGAIA;499449320;64445292;6
SETCARGO INTERNATIONAL;439206368;62793350;-0
ORTEC GENERALE DE DEPOLLUTION;417922689;63662535;-5
ENOE SOLAIRE;851929547;60671021;8
IMMUNOTECH;322904079;63496989;14
SOCIETE SAMSON CHERQUI;309344869;61274504;2
SESSUN;429204282;61005559;5
A A 83 ACTION AUTOMOBILE DU VAR;483161238;61423614;1
BOURBON SHIPS MARINE;072801749;62171492;6
SODI-OSIS;341820942;62152643;0
SECURITAS TECHNOLOGIES;801611443;61628265;2
INOVIE LABOSUD PROVENCE;423501469;69170213;13
IMPERIAL;404206047;68753890;6
VACANCES BLEUES;421866344;65064230;1
HOPITAL PRIVE MARSEILLE - BEAUREGARD - VERT COTEAU;437970858;65538060;1
HOMEPERF;413766981;67185558;-2
CRIS RESEAUX;403266174;66391540;5
SONOVISION;542001193;69766325;3
CARRIERES ET BETONS BRONZO PERASSO CBBP;398568758;68612320;11
ENOVACOM;443685573;69719054;-16
BROUSSE-VERGEZ;347770000;68870793;5
ITESA;311980932;65496403;5
Résultats Trouvés;146756000;Non disponible;Non disponible
LAVERA ENERGIES;428668255;71512165;19
S.G.D.A. MAXICOFFEE SOLUTIONS SUD;319099917;71704496;-3
VILLAGES CLUBS DU SOLEIL;422636472;74058140;6
THYSSENKRUPP POLYSIUS FRANCE;775729007;72274000;-203
HLM 3F SUD SOCIETE ANONYME D'HABITATIONS A LOYER MODERE;415750868;74036620;0
TFT FRANCE SAS TRILLIUM FLOW TECHNOLOGIES FRANCE SAS;348673757;74036383;5
NUVIA STRUCTURE;487930323;71367011;8
ADF MAINTENANCE INDUSTRIELLE;380153205;73767151;2
ORTEC SERVICES ENVIRONNEMENT;790208920;70280343;5
LFMP LABORATOIRE FONDERIE DE METAUX PRECIEUX;307421826;70609840;0
RIIS SOFTWAY MEDICAL SERVICES;342434156;74486339;6
ODICEE - AIX;414780627;70465306;1
ONET LOGISTIQUE;562107003;70157635;1
SNT SUMA SOCIETE NOUVELLE TRANSPORTS SUMA;636680175;73566708;1
ONET AIRPORT SERVICES PARIS;908399058;72839733;15
INTERVASCULAR SAS;353305576;71911842;23
SAN MARINA;321875205;75786328;-50
ONET TECHNOLOGIES ND;381662774;77430114;-1
PHOCEENS V I P IVECO PROVENCE;409059706;75231626;-2
AUTOSPRINTER MARSEILLE;309004331;75417348;-0
AIX AUTOMOBILES;312196777;79633700;-1
SDVI IVECO OUEST;702011099;78323266;8
RH BONNEVEINE;911083111;83129787;-0
HOPITAL PRIVE CLAIRVAL;423899947;83123915;-17
SETEC INTERNATIONAL;722013174;80072443;8
SODIPLAN;511273401;80701948;4
MINELLI SAS;413157306;84041187;-19
TOURING AUTOMOBILES;414781203;80017672;1
ONET TECHNOLOGIES CN;352176721;80047889;9
CMN LA MERIDIONALE;057801730;82552391;-27
MATERIAUX MODERNES;487650798;80560316;3
IVECO NORD;353539380;80632036;-1
ONYX MEDITERRANEE;073806440;86259797;1
BAYERN AIX BY AUTOSPHERE;381432673;88996379;1
Résultats Trouvés;174812362;Non disponible;Non disponible
OLYMPIQUE DE MARSEILLE;401887401;93351000;-45
AUTO SPRINTER;378502264;90812259;-0
GIANT FRANCE;343804274;94259863;-10
Résultats Trouvés;100000000;Non disponible;Non disponible
TRANSIT FRUITS;057818726;95953075;4
NOSIBE;442997342;98907971;3
CLARKE ENERGY FRANCE;439818071;96631577;7
HPP POLYCLINIQUE DU PARC RAMBOT - HOPITAL PRIVE DE PROVENCE;303589055;96802152;4
DEBEAUX;390439420;11320393;-6
MACHARMA;800251555;11539587;1
ALSTOM HYDROGENE SAS;435050737;10774000;2
SBV SERN BALL VALVES;068802883;10059277;-9
SOCIETE D'EXPLOITATION AMBULANCES LA MIMETAINE;503508681;10502628;-1
EMTS DIRECTION DE TRAVAUX;821659224;14778402;30
EUROFINS L.E.A.;433874237;10447746;-2
ARDILE;069800423;11505877;6
HELIATEC INGENIERIE;904392305;11235212;1
PRINCIPIA;440192169;14012024;6
BTOB MAINTENANCE;808560361;13320003;5
SASR SOCIETE ANONYME SAINT ROCH;054805577;12904318;17
BETA FRANCE;390252328;13309353;3
VULKAN FRANCE SARL;657080347;11922497;10
MOTO STORE DOCKS;530674076;11204560;-6
COGEPART;339542359;10870239;-1
EMTS ENVIRONNEMENT;821749587;10368374;21
C&P CONSTRUCTION ET PATRIMOINE;803518463;10000908;9
PICADELI FRANCE;828212761;12283566;-5
MANEO;831530365;11883632;4
EUROSUD PROVENCE;789746336;13883668;-29
MEDIACO LEVAGE;325793560;12419907;163
NERESYS;803719277;13820530;3
SUEZ RV ISTRES;509430971;11318682;-28
EPICE;443784335;10235366;3
SELARL DECAROLI ST BARNABE;424762078;10168924;-8
J C F;379166598;14210429;3
ARRIGONI FRANCE;387526940;12772303;3
NAOS LIGHTHOUSE;479401572;14248295;275
GARE ROUTIERE MARSEILLAISE;329833966;10877959;6
CRITIERO;439724105;10568495;1
STUDIOS DE MARSEILLE;452374432;11100796;40
CFP COMPAGNIE FINANCIERE DE PARTICIPATION;302716535;14522844;86
MARTIN BENCHER FRANCE;532573367;14165164;-0
ENTREPRISE GLE ELECTRICITE NOEL BERANGER;072802689;13026797;2
GROUPE ETHIQUE ET SANTE;509716403;14875598;3
ARGUYDAL;332160126;12593010;10
TERRITOIRE;479016297;12409229;4
PAK;484547005;14216542;1
COGEREM CONSEILS GESTION REMORQUAGE;434135752;12590717;6
MEDIACO MARSEILLE PROVENCE;309587186;10777224;0
SAINT CHRISTOPHE;301898714;12296685;1
CEI CT INGENIERIE SUD EST;480563535;12174233;-4
PROVENCE MAINTENANCE SERVICES;433899788;11618211;5
AMETIS PROVENCE ALPES COTE D'AZUR;500837588;11467007;-20
CLINIQUE LA PHOCEANNE;394478432;12092237;10
REAL SOL;832994354;11880427;7
SMALT CAPITAL;432544773;10348254;-0
SAINT BRUNO;750588923;11163857;1
MARDUN;804426880;10296786;4
SANTERNE MARSEILLE;439487604;10141337;5
MOTO STORE AIX;823180443;10059343;-5
NEWSPORT;419561063;12597758;5
EXCEN MARSEILLE;301771564;10863384;11
MONTMIRAIL;384983342;13108016;19
MAMMAFIORE PROVENCE;513078618;13986383;-3
GRAND MOULINS STORIONE;529122962;14030000;-8
CIA FRANCE ALITHYA FRANCE;398379222;12943358;-1
FIVES NORTH AMERICAN COMBUSTION FRANCE SAS;394392609;10353078;18
CLID SYSTEMES;497689372;14741681;-10
DDS MEDITERRANEE;503147639;14266290;-4
DIGITECH;384617031;12633844;3
EPUR MEDITERRANEE;451381594;11500640;0
TRANSPORTS DU PAYS DE L'ETOILE;830786075;12756776;0
EFR MEDITERRANEE FROID&SERVICES MEDITERRANEE;302591524;13238627;8
GROUPE VATRON-MAU;342828530;13758015;4
CLINIQUE DES TROIS CYPRES;377870100;12732754;20
CMD CONSORTIUM MODERNE DE DIFFUSION;692022262;10907620;1
SA AGENCE SUD ET SUD EST POUR LA DIFFUSION DES CONSTRUCTIONS PREFABRIQUEES ET PANNEAUX POUR L'AGENCEMENT ET LE BATIMENT;782676100;12290018;4
SECURE SYSTEMS & SERVICES;529229205;13119964;5
SATYS COATINGS MARSEILLE;805065224;14942276;-2
ACCESSITE;394232300;13159252;7
PROVEPHARM LIFE SOLUTIONS;418165460;13794370;10
